circuit,model,p,regime,method,ideal,mu,sd,ci_lo,ci_hi,err,err_noisy,impr
bell,combined,0.075,high,linear,1.0,0.9036458333333337,0.04173713658843711,0.8809884982638893,0.9244368489583336,0.0963541666666663,0.14739583333333328,0.346289752650179
bell,combined,0.09,high,richardson,1.0,1.03203125,0.17507642258022574,0.9372233072916666,1.111591796875,0.032031249999999956,0.16315104166666672,0.8036711891460498
bell,combined,0.09,high,linear,1.0,0.8916232638888894,0.0436303927485502,0.8699175347222229,0.9136773003472226,0.10837673611111065,0.16315104166666672,0.3357275871242382
bell,combined,0.105,high,richardson,1.0,0.9701822916666664,0.21030657314787315,0.8617122395833327,1.0790397135416667,0.029817708333333637,0.17317708333333337,0.8278195488721788
bell,combined,0.105,high,linear,1.0,0.892230902777778,0.033340170830124215,0.8743023003472223,0.9078569878472224,0.10776909722222205,0.17317708333333337,0.3776942355889735
bell,combined,0.12,high,richardson,1.0,0.9350260416666661,0.3160777186712977,0.7674381510416656,1.0921874999999999,0.06497395833333386,0.185546875,0.649824561403506
bell,combined,0.12,high,linear,1.0,0.9233940972222225,0.048455853253308596,0.8987391493055558,0.948914930555556,0.07660590277777746,0.185546875,0.5871345029239783
bell,combined,0.135,high,richardson,1.0,0.9382812499999997,0.32970909783126884,0.7809440104166662,1.1042024739583334,0.061718750000000266,0.20299479166666667,0.6959589480436164
bell,combined,0.135,high,linear,1.0,0.9171875000000003,0.03922002381913918,0.8980392795138891,0.9384548611111115,0.08281249999999973,0.20299479166666667,0.5920461834509314
bell,combined,0.15,high,richardson,1.0,0.8638020833333329,0.32890645618890446,0.6998632812499989,1.0251302083333333,0.13619791666666714,0.21562499999999996,0.368357487922703
bell,combined,0.15,high,linear,1.0,0.900217013888889,0.05090044919213422,0.872916666666667,0.9257389322916668,0.09978298611111103,0.21562499999999996,0.5372383252818038
ghz,depolar,0.001,low,richardson,1.0,0.9994791666666659,0.014413774321494339,0.9928385416666657,1.0072916666666656,0.0005208333333340809,0.002083333333333326,0.7499999999996403
ghz,depolar,0.001,low,linear,1.0,1.0003472222222223,0.003898043076270426,0.998307291666667,1.0023437500000003,0.0003472222222222765,0.002083333333333326,0.8333333333333067
ghz,depolar,0.002333,low,richardson,1.0,1.0026041666666656,0.02742423670187692,0.9885416666666652,1.016406249999999,0.0026041666666656305,0.005989583333333326,0.5652173913045203
ghz,depolar,0.002333,low,linear,1.0,0.9992187500000005,0.005160369426285363,0.9966579861111116,1.0018663194444446,0.0007812499999995115,0.005989583333333326,0.8695652173913857
ghz,depolar,0.003667,low,richardson,1.0,1.0037760416666661,0.0373414254274177,0.986588541666666,1.023697916666666,0.003776041666666119,0.0078125,0.5166666666667368
ghz,depolar,0.003667,low,linear,1.0,1.001649305555556,0.0061802873303220965,0.9984798177083339,1.0046440972222228,0.00164930555555598,0.0078125,0.7888888888888346
ghz,depolar,0.005,low,richardson,1.0,1.013151041666666,0.025510201867205286,0.999996744791666,1.0253906249999993,0.01315104166666603,0.01432291666666663,0.08181818181822388
ghz,depolar,0.005,low,linear,1.0,1.000868055555556,0.010323111415268798,0.9953982204861117,1.0056857638888894,0.0008680555555560243,0.01432291666666663,0.9393939393939065
ghz,depolar,0.006333,low,richardson,1.0,1.0102864583333326,0.0438560532551444,0.9884016927083327,1.032164713541666,0.010286458333332638,0.01653645833333328,0.37795275590555194
ghz,depolar,0.006333,low,linear,1.0,0.9986111111111112,0.009582680696879568,0.9932703993055556,1.0032118055555557,0.001388888888888773,0.01653645833333328,0.9160104986876708
ghz,depolar,0.007667,low,richardson,1.0,1.0010416666666653,0.04860556919054456,0.977597656249999,1.0276041666666658,0.0010416666666652752,0.02057291666666672,0.9493670886076627
